name
FEMME ACTUELLE JEUX VOYAGE
FIGAROPLUS
FIGAROSCOPE
FLOW
FOU DE CUISINE
FOU DE PATISSERIE
FRANCE DIMANCHE
FRANCE FOOTBALL
GALA
GALA CROISETTE
GARCON MAGAZINE
GAZOLINE
GEO
GEO ADO
GEO EXTRA
GEO HISTOIRE
GEO HORS SERIE
GLAMOUR
GOLF MAGAZINE
GOURMAND
GQ
GRAFFITIART MAGAZINE
GRAND GIBIER
GRANDE GALERIE
GRANDS REPORTAGES
GRAZIA
GULLI LE MAG
GULLIDOO
HAND ACTION
HBR (HARVARD BUSINESS REVIEW)
HISTOIRES POUR LES PETITS
HISTORIA
HOROSCOPE
HOTEL & LODGE
I LOVE ENGLISH
I LOVE ENGLISH FOR KIDS
I LOVE ENGLISH WORLD
ICI PARIS
IDEAT
ILLIMITE
IMAGES DOC
IMAGES DU MONDE
INDUSTRIE & TECHNOLOGIES
INTRAMUROS
INVESTIR - LE JOURNAL DES FINANCES
J'AIME LIRE
J'AIME LIRE MAX
JALOUSE
J'APPRENDS A LIRE
JARDIN D'ICI
JE BOUQUINE
JEUX NOTRE TEMPS
JOGGING INTERNATIONAL
JOURNAL DU GOLF
JOURS DE CHASSE
JOURS DE FRANCE
JULIE
LA CROIX
LA FRANCE AGRICOLE
LA PARISIENNE
LA RECHERCHE
LA REVUE DU VIN DE FRANCE
LA REVUE NATIONALE DE LA CHASSE
LA VIE
L'AMI DES JARDINS ET DE LA MAISON
L'ARGUS 
L'ARGUS VOITURES D'OCCASION
L'ARGUS, EDITION PRO
L'AUTO JOURNAL 4X4 EVASION
L'AUTO-JOURNAL
L'AUTOMOBILE MAGAZINE
LE CHASSEUR FRANCAIS
LE CYCLE
LE FIGARO ACTUALITES
LE FIGARO ECONOMIE
LE FIGARO ET VOUS
LE FIGARO LITTERAIRE
LE FIGARO MAGAZINE
LE JOURNAL DE LA MAISON
LE JOURNAL DE MICKEY
LE JOURNAL DU DIMANCHE
LE JOURNAL DU DIMANCHE - JDD COMMUNICATION
LE JOURNAL DU DIMANCHE - MES DIMANCHES
LE MAGAZINE LITTERAIRE
LE MONDE ARGENT&PLACEMENTS
LE MONDE DES LIVRES
LE MONDE DIPLOMATIQUE
LE MONDE IDEES
LE MONDE QUOTIDIEN 1ER CAHIER
LE MONDE QUOTIDIEN 2E CAHIER ECO&ENTREPRISE
LE MONDE SCIENCE&MEDECINE
LE MONDE SPORTS
LE MONDE SUPPLEMENT THEMATIQUE
LE MONDE UNIVERSITES&GRANDES ECOLES
LE NOUVEAU DETECTIVE
LE PARISIEN
LE PARISIEN - AUJOURD'HUI EN FR. ECONOMIE
LE PARISIEN - AUJOURD'HUI EN FRANCE
LE PARISIEN - AUJOURD'HUI MAGAZINE
LE PARTICULIER
LE POINT
LE REVENU HEBDO BOURSE - TARIFS CAPTIFS
L'EQUIPE
L'EQUIPE MAGAZINE
LES 4 SAISONS DU JARDIN BIO
LES BELLES HISTOIRES
LES CAHIERS DE SCIENCE & VIE
LES ECHOS
LES ECHOS - SERIE LIMITEE
LES ECHOS WEEK-END
LES INROCKUPTIBLES
LES JEUX DE MAXI
L'ETUDIANT
L'EXPANSION
L'EXPRESS
L'EXPRESS HORS SERIE
L'EXPRESS STYLES
L'HISTOIRE
L'HUMANITE
L'HUMANITE DIMANCHE
LIBERATION
LIRE
L'OBS
L'OFFICIEL
L'OFFICIEL 1000 MODELES
L'OFFICIEL CHIRURGIE ESTHETIQUE
L'OFFICIEL SHOPPING
L'OPINION
L'OPTIMUM (LE MAGAZINE DE L'OPTIMUM)
LUI
L'USINE NOUVELLE
M LE MAGAZINE DU MONDE
MADAME FIGARO
MADAME FIGARO IDF
MADAME FIGARO MADFOR 
MAGIC MAMAN
MAISON & TRAVAUX
MAISON CREATIVE
MAISONS COTE EST
MAISONS COTE OUEST
MAISONS COTE SUD
MANAGEMENT
MANAGEMENT HORS SERIE
MANON
MARIAGES
MARIANNE
MARIE CLAIRE
MARIE CLAIRE COTE D'AZUR
MARIE CLAIRE ENFANTS
MARIE CLAIRE FASHION SHOWS
MARIE CLAIRE IDEES
MARIE CLAIRE IDEES HORS SERIE
MARIE CLAIRE LANGUEDOC ROUSSILLON
MARIE CLAIRE MAISON
MARIE CLAIRE MAISON MEDITERRANEE
MARIE CLAIRE MAISON SUPPLEMENTS
MARIE CLAIRE PROVENCE
MARIE CLAIRE PROVENCE COTE D'AZUR
MARIE FRANCE
MARMITON MAGAZINE
MAXI
MAXI CUISINE
MAXI CUISINE HORS SERIE
MAXI HORS SERIE
MEN'S FITNESS
MES PREMIERS J'AIME LIRE
MICKEY JUNIOR
MICKEY PARADE GEANT
MIEUX VIVRE VOTRE ARGENT
MILK
MILK DECORATION
MODES ET TRAVAUX
MOI, JE LIS
MON JARDIN ET MA MAISON
MONACO MADAME
MOTO JOURNAL
NATIONAL GEOGRAPHIC
NATIONAL GEOGRAPHIC HORS SERIE
NEON
NOTRE TEMPS
NOTRE TEMPS HORS SERIE
NOTRE TEMPS SANTE
NOUS DEUX
NUMERO
NUMERO SPECIAL HOMMES
OKAPI
OPERA MAGAZINE
PANORAMA
PAPILLES
PAPILLOTE
PARENTS
PARIS MATCH
PARIS WORLDWIDE 
PAULETTE
PELERIN
PHILOSOPHIE MAGAZINE
PHOSPHORE
PHOTO
PHR NATIONAL
PIANISTE
PICOTI
PICSOU MAGAZINE
PLEINE VIE
POINT DE VUE
POLKA MAGAZINE
POMME D'API
POPI
POSITIF
PQR66
PREMIERE
PRIMA
PRIMA HORS SERIE
PROPRIETES LE FIGARO
PSYCHOLOGIES MAGAZINE
PUBLIC
REGAL
REINE DES NEIGES
REPONSE A TOUT
REPONSES PHOTO
RESIDENCES DECORATION
ROLLING STONE
RUSTICA
SANTE MAGAZINE
SAVEURS
SCIENCE & VIE
SCIENCE & VIE DÉCOUVERTES
SCIENCE & VIE JUNIOR
SCIENCES ET AVENIR
SELECTION READER'S DIGEST
SERENGO
SIGNE BARRIERE
SLOWLY VEGGIE
SORTIR
SOY LUNA
SPORT AUTO
SPORT ET STYLE L'EQUIPE
STUDIO MAGAZINE/CINE LIVE
STYLIST
SUPER PICSOU GEANT
SYSTEME D
TCHOUPI
TECHNIKART
TELE 2 SEMAINES
TELE 7 JEUX
TELE 7 JOURS
TELE 7 JOURS JEUX 
TELE LOISIRS 
TELE MAGAZINE
TELE POCHE
TELE STAR
TELE STAR JEUX
TELE Z
TELECABLE SAT HEBDO
TELERAMA
THE GOOD LIFE
TOBOGGAN
TOP SANTE
TOUPIE
TRALALIRE
TRAX
TV GRANDES CHAINES
TV MAGAZINE
TV MAGAZINE IDF
TV MAGAZINE LE PARISIEN
VALEURS ACTUELLES
VANITY FAIR
VELO MAGAZINE
VERSION FEMINA
VIE PRATIQUE FEMININ
VITAL
VIVA DECO
VIVRE COTE PARIS
VOGUE
VOGUE HOMMES
VOICI
VSD
WAKOU
WAPITI
WHERE PARIS
WIDER LE MAGAZINE OUTDOOR
YACHTING CLASSIQUE
YAM
YOGA JOURNAL
YOUPI
ZEPROS (COUPLAGE  8 TITRES)
ZEPROS COLLECTIVE
ZEPROS METIERS AUTO
ZEPROS METIERS BATI
ZEPROS METIERS DISTRIBUTEURS RHD
ZEPROS METIERS ENERGIE
ZEPROS METIERS NEGOCE
ZEPROS METIERS RESTO
ZEPROS METIERS SNACK
ZEPROS METIERS TRANSPORT
ZESTE
